PatType,day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,0,Mon,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,5,05:00,13.000000,0.923077,0.000000,4.000000,1.255756,0.348284,1.576923,1.360402,1.361359,1.548104,0.000000,0.000000,2.000000,2.800000,3.760000
ART,0,Mon,6,06:00,13.000000,5.461538,0.000000,10.000000,2.295481,0.636652,5.269231,0.420299,-0.527854,2.728489,5.000000,5.000000,7.000000,8.200000,9.640000
ART,0,Mon,7,07:00,13.000000,3.230769,0.000000,7.000000,2.087816,0.579056,4.358974,0.646229,0.677729,0.096034,2.000000,3.000000,4.000000,7.000000,7.000000
ART,0,Mon,8,08:00,13.000000,3.846154,0.000000,7.000000,2.075498,0.575640,4.307692,0.539630,-0.023074,-0.395170,2.000000,4.000000,5.000000,7.000000,7.000000
ART,0,Mon,9,09:00,13.000000,2.538462,0.000000,5.000000,1.506397,0.417799,2.269231,0.593429,-0.086943,-1.007788,1.000000,3.000000,4.000000,4.400000,4.880000
ART,0,Mon,10,10:00,13.000000,3.153846,0.000000,6.000000,1.772294,0.491546,3.141026,0.561947,0.045223,-0.306790,2.000000,3.000000,4.000000,6.000000,6.000000
ART,0,Mon,11,11:00,13.000000,2.538462,0.000000,6.000000,1.506397,0.417799,2.269231,0.593429,0.604510,1.463811,2.000000,3.000000,3.000000,4.800000,5.760000
ART,0,Mon,12,12:00,13.000000,2.692308,0.000000,6.000000,1.750458,0.485490,3.064103,0.650170,0.336379,-0.526918,1.000000,3.000000,4.000000,5.400000,5.880000
ART,0,Mon,13,13:00,13.000000,1.923077,0.000000,5.000000,1.605280,0.445224,2.576923,0.834745,0.574766,-0.411438,1.000000,2.000000,2.000000,4.400000,4.880000
ART,0,Mon,14,14:00,13.000000,0.538462,0.000000,2.000000,0.660225,0.183114,0.435897,1.226133,0.862613,-0.024536,0.000000,0.000000,1.000000,1.400000,1.880000
ART,0,Mon,15,15:00,13.000000,0.307692,0.000000,1.000000,0.480384,0.133235,0.230769,1.561249,0.946212,-1.339394,0.000000,0.000000,1.000000,1.000000,1.000000
ART,0,Mon,16,16:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,17,17:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,0,Mon,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,6,06:00,13.000000,1.692308,1.000000,3.000000,0.751068,0.208309,0.564103,0.443813,0.610701,-0.776484,1.000000,2.000000,2.000000,3.000000,3.000000
ART,1,Tue,7,07:00,13.000000,6.000000,4.000000,9.000000,1.632993,0.452911,2.666667,0.272166,0.407088,-0.747443,5.000000,6.000000,7.000000,8.400000,8.880000
ART,1,Tue,8,08:00,13.000000,3.076923,0.000000,6.000000,1.977437,0.548442,3.910256,0.642667,0.180426,-1.177156,2.000000,3.000000,5.000000,6.000000,6.000000
ART,1,Tue,9,09:00,13.000000,4.461538,1.000000,8.000000,1.808101,0.501477,3.269231,0.405264,-0.126584,0.630412,4.000000,5.000000,5.000000,6.800000,7.760000
ART,1,Tue,10,10:00,13.000000,2.769231,2.000000,5.000000,0.926809,0.257050,0.858974,0.334681,1.273684,1.524332,2.000000,3.000000,3.000000,4.400000,4.880000
ART,1,Tue,11,11:00,13.000000,4.076923,2.000000,6.000000,1.255756,0.348284,1.576923,0.308016,-0.167742,-0.192072,4.000000,4.000000,5.000000,6.000000,6.000000
ART,1,Tue,12,12:00,13.000000,2.461538,1.000000,4.000000,1.126601,0.312463,1.269231,0.457682,0.112481,-1.280140,2.000000,2.000000,3.000000,4.000000,4.000000
ART,1,Tue,13,13:00,13.000000,2.076923,0.000000,6.000000,1.497862,0.415432,2.243590,0.721193,1.429570,3.277540,1.000000,2.000000,3.000000,4.200000,5.640000
ART,1,Tue,14,14:00,13.000000,0.923077,0.000000,3.000000,0.954074,0.264612,0.910256,1.033580,0.853541,0.220844,0.000000,1.000000,1.000000,2.400000,2.880000
ART,1,Tue,15,15:00,13.000000,0.307692,0.000000,2.000000,0.630425,0.174848,0.397436,2.048882,2.051401,3.711475,0.000000,0.000000,0.000000,1.400000,1.880000
ART,1,Tue,16,16:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,1,Tue,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,5,05:00,13.000000,1.538462,0.000000,4.000000,1.330124,0.368910,1.769231,0.864581,0.279328,-0.905688,0.000000,2.000000,2.000000,3.400000,3.880000
ART,2,Wed,6,06:00,13.000000,5.153846,3.000000,8.000000,1.463224,0.405825,2.141026,0.283909,0.254470,-0.156570,4.000000,5.000000,6.000000,7.400000,7.880000
ART,2,Wed,7,07:00,13.000000,3.307692,1.000000,5.000000,1.377474,0.382043,1.897436,0.416446,0.022742,-1.238578,2.000000,3.000000,5.000000,5.000000,5.000000
ART,2,Wed,8,08:00,13.000000,3.384615,1.000000,6.000000,1.386750,0.384615,1.923077,0.409722,0.281889,-0.180771,3.000000,3.000000,4.000000,5.400000,5.880000
ART,2,Wed,9,09:00,13.000000,4.000000,1.000000,7.000000,1.825742,0.506370,3.333333,0.456435,0.194193,-1.048364,3.000000,3.000000,6.000000,6.400000,6.880000
ART,2,Wed,10,10:00,13.000000,2.615385,1.000000,5.000000,1.043908,0.289528,1.089744,0.399141,0.937448,1.154371,2.000000,2.000000,3.000000,4.400000,4.880000
ART,2,Wed,11,11:00,13.000000,3.846154,1.000000,6.000000,1.625123,0.450728,2.641026,0.422532,-0.122199,-0.839293,3.000000,4.000000,5.000000,6.000000,6.000000
ART,2,Wed,12,12:00,13.000000,2.076923,0.000000,4.000000,1.320451,0.366227,1.743590,0.635773,-0.164018,-0.778098,1.000000,2.000000,3.000000,4.000000,4.000000
ART,2,Wed,13,13:00,13.000000,1.538462,0.000000,4.000000,1.198289,0.332346,1.435897,0.778888,0.408456,-0.011080,1.000000,2.000000,2.000000,3.400000,3.880000
ART,2,Wed,14,14:00,13.000000,0.461538,0.000000,2.000000,0.776250,0.215293,0.602564,1.681875,1.412833,0.546343,0.000000,0.000000,1.000000,2.000000,2.000000
ART,2,Wed,15,15:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,2,Wed,16,16:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,5,05:00,13.000000,1.230769,0.000000,3.000000,1.091928,0.302846,1.192308,0.887192,0.373307,-1.033507,0.000000,1.000000,2.000000,3.000000,3.000000
ART,3,Thu,6,06:00,13.000000,5.000000,2.000000,7.000000,1.632993,0.452911,2.666667,0.326599,-0.407088,-0.747443,4.000000,5.000000,6.000000,7.000000,7.000000
ART,3,Thu,7,07:00,13.000000,4.230769,2.000000,8.000000,2.278664,0.631988,5.192308,0.538593,0.413734,-1.548289,2.000000,4.000000,6.000000,7.400000,7.880000
ART,3,Thu,8,08:00,13.000000,3.769231,1.000000,5.000000,1.235168,0.342574,1.525641,0.327698,-1.053911,0.722761,3.000000,4.000000,5.000000,5.000000,5.000000
ART,3,Thu,9,09:00,13.000000,4.461538,2.000000,6.000000,1.265924,0.351104,1.602564,0.283742,-0.480856,-0.538682,4.000000,5.000000,5.000000,6.000000,6.000000
ART,3,Thu,10,10:00,13.000000,2.846154,1.000000,5.000000,1.405119,0.389710,1.974359,0.493690,0.105870,-1.010475,2.000000,3.000000,4.000000,5.000000,5.000000
ART,3,Thu,11,11:00,13.000000,3.153846,1.000000,6.000000,1.463224,0.405825,2.141026,0.463949,0.443090,-0.628568,2.000000,3.000000,4.000000,5.400000,5.880000
ART,3,Thu,12,12:00,13.000000,2.692308,1.000000,4.000000,1.250641,0.346865,1.564103,0.464524,-0.518363,-1.416467,1.000000,3.000000,4.000000,4.000000,4.000000
ART,3,Thu,13,13:00,13.000000,1.538462,0.000000,3.000000,0.967418,0.268313,0.935897,0.628822,-0.127440,-0.638435,1.000000,2.000000,2.000000,3.000000,3.000000
ART,3,Thu,14,14:00,13.000000,0.769231,0.000000,3.000000,0.926809,0.257050,0.858974,1.204851,1.273684,1.524332,0.000000,1.000000,1.000000,2.400000,2.880000
ART,3,Thu,15,15:00,13.000000,0.461538,0.000000,2.000000,0.776250,0.215293,0.602564,1.681875,1.412833,0.546343,0.000000,0.000000,1.000000,2.000000,2.000000
ART,3,Thu,16,16:00,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
ART,3,Thu,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,3,Thu,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,5,05:00,13.000000,0.769231,0.000000,3.000000,1.012739,0.280883,1.025641,1.316561,1.107482,0.242420,0.000000,0.000000,1.000000,2.400000,2.880000
ART,4,Fri,6,06:00,13.000000,7.153846,4.000000,11.000000,1.772294,0.491546,3.141026,0.247740,0.363668,1.047718,6.000000,7.000000,8.000000,9.800000,10.760000
ART,4,Fri,7,07:00,13.000000,3.692308,2.000000,6.000000,1.315587,0.364878,1.730769,0.356305,0.672588,-0.372813,3.000000,3.000000,4.000000,6.000000,6.000000
ART,4,Fri,8,08:00,13.000000,4.076923,2.000000,7.000000,1.497862,0.415432,2.243590,0.367400,1.077900,0.749124,3.000000,4.000000,4.000000,7.000000,7.000000
ART,4,Fri,9,09:00,13.000000,3.923077,1.000000,7.000000,1.705947,0.473145,2.910256,0.434849,0.021128,-0.442086,3.000000,4.000000,5.000000,6.400000,6.880000
ART,4,Fri,10,10:00,13.000000,4.769231,1.000000,7.000000,1.786703,0.495542,3.192308,0.374631,-0.834324,0.376796,4.000000,5.000000,6.000000,7.000000,7.000000
ART,4,Fri,11,11:00,13.000000,3.076923,0.000000,6.000000,1.846688,0.512179,3.410256,0.600174,-0.132139,-1.151326,2.000000,4.000000,4.000000,5.400000,5.880000
ART,4,Fri,12,12:00,13.000000,3.923077,2.000000,7.000000,1.605280,0.445224,2.576923,0.409189,0.431919,-0.698929,3.000000,4.000000,5.000000,6.400000,6.880000
ART,4,Fri,13,13:00,13.000000,2.615385,1.000000,5.000000,1.192928,0.330859,1.423077,0.456119,0.547864,-0.244824,2.000000,2.000000,3.000000,4.400000,4.880000
ART,4,Fri,14,14:00,13.000000,0.846154,0.000000,2.000000,0.554700,0.153846,0.307692,0.655555,-0.143403,0.901136,1.000000,1.000000,1.000000,1.400000,1.880000
ART,4,Fri,15,15:00,13.000000,0.538462,0.000000,2.000000,0.776250,0.215293,0.602564,1.441607,1.113821,-0.154722,0.000000,0.000000,1.000000,2.000000,2.000000
ART,4,Fri,16,16:00,13.000000,0.461538,0.000000,1.000000,0.518875,0.143910,0.269231,1.124228,0.175204,-2.363636,0.000000,0.000000,1.000000,1.000000,1.000000
ART,4,Fri,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,4,Fri,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,6,06:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,7,07:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,8,08:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,9,09:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,10,10:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,11,11:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,12,12:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,13,13:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,14,14:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,15,15:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,16,16:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,5,Sat,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,0,00:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,1,01:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,2,02:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,3,03:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,4,04:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,5,05:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,6,06:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,7,07:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,8,08:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,6,Sun,9,09:00,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
